2532A094 2532A001;2532A001 2532A022;2532A095 2532A001;2;277029.5
2523A016 2523A017;2541A044022541A002;2532A014 2541A001;2;278245.5
2543A007 2543A001;2534A030 2534A031;2543A015 2543A010;2;278372.5
2533A006 2533A007;2533A015 2533A016;2533A041 2533A045;2;278532.5
2541A044022541A002;2532A014 2541A001;2523A017 2541A003;2;278957.5
2523A016 2523A017;2541A044022541A002;2532A013 2532A014;2;278973.5
2523A030 2523A016;2523A002 2523A016;2541A002 2541A007;2;279198.5
2541A044022541A002;2532A013 2532A014;2523A017 2541A003;2;279685.5
2523A030 2523A016;2541A007 2541A008;2523A002 2523A016;2;279912.5
2523A016 2523A017;2541A044022541A002;2541A002 2532A013;2;280377.5
2541A044022541A002;2541A002 2532A013;2523A017 2541A003;2;281089.5
2543A007 2543A001;2534A031 2543A003;2543A015 2543A010;2;281136.5
2523A030 2523A016;2541A008 2541A009;2523A002 2523A016;2;281175.5
2523A015 2523A014;2523A008 2523A009;2523A002 2523A016;2;281326.5
2534A030 2534A031;2543A001 2543A008;2543A015 2543A010;2;281404.5
2541A044022541A002;2532A014 2541A001;2541A019 2541A003;2;281683.5
2523A030 2523A016;2541A009 2541A010;2523A002 2523A016;2;281988.5
2541A044022541A002;2532A014 2541A001;2541A018 2541A019;2;282077.5
2541A044022541A002;2532A013 2532A014;2541A019 2541A003;2;282411.5
2533A006 2533A007;2533A007 2533A015;2533A041 2533A045;2;282726.5
2541A044022541A002;2532A013 2532A014;2541A018 2541A019;2;282805.5
2534A030 2534A031;2543A015 2543A010;2543A008 2543A009;2;282908.5
2523A030 2523A016;2541A010 2541A011;2523A002 2523A016;2;283392.5
2533A043 2533A007;2533A006 2533A007;2533A015 2533A016;2;283601.5
2541A044022541A002;2541A002 2532A013;2541A019 2541A003;2;283815.5
2543A001 2543A008;2534A031 2543A003;2543A015 2543A010;2;284168.5
2541A044022541A002;2541A002 2532A013;2541A018 2541A019;2;284209.5
2541A044022541A002;2532A014 2541A001;2541A017 2541A018;2;284431.5
2523A030 2523A016;2541A011 2541A012;2523A002 2523A016;2;284516.5
2543A007 2543A001;2543A011 2543A003;2543A015 2543A010;2;284756.5
2523A030 2523A016;2541A012 2541A013;2523A002 2523A016;2;284880.5
2523A009 2523A001;2523A008 2523A028;2523A006 2523A007;2;284950.5
2541A044022541A002;2532A013 2532A014;2541A017 2541A018;2;285159.5
2541A016 2541A017;2541A044022541A002;2532A014 2541A001;2;285256.5
2534A030 2534A031;2543A009 2543A010;2543A015 2543A010;2;285281.5
2514A020 2523A003;2523A006 2523A027;2523A007 2523A008;2;285349.5
2534A031 2543A003;2543A015 2543A010;2543A008 2543A009;2;285672.5
2534A028 2534A030;2534A055 2534A030;2543A010 2543A011;2;285941.5
2541A016 2541A017;2541A044022541A002;2532A013 2532A014;2;285984.5
2541A013 2541A015;2523A030 2523A016;2523A002 2523A016;2;286437.5
2523A015 2523A014;2523A009 2523A001;2523A002 2523A016;2;286446.5
2541A015 2541A016;2541A044022541A002;2532A014 2541A001;2;286485.5
2541A044022541A002;2541A002 2532A013;2541A017 2541A018;2;286563.5
2541A001 2541A006;2534A043 2543A019;2543A009 2543A010;2;286686.5
2541A015 2541A016;2541A044022541A002;2532A013 2532A014;2;287213.5
2541A016 2541A017;2541A044022541A002;2541A002 2532A013;2;287388.5
2541A001 2541A006;2543A020 2543A019;2543A009 2543A010;2;287407.5
2523A010 2523A002;2523A001 2523A015;2523A008 2523A009;2;287426.5
2541A015 2541A016;2523A030 2523A016;2523A002 2523A016;2;287783.5
2543A001 2543A008;2543A011 2543A003;2543A015 2543A010;2;287788.5
2533A043 2533A007;2533A006 2533A007;2533A007 2533A015;2;287795.5
2534A043 2543A019;2543A009 2543A010;2541A006 2543A017;2;287797.5
2541A013 2541A015;2541A044022541A002;2532A014 2541A001;2;287831.5
2534A031 2543A003;2543A009 2543A010;2543A015 2543A010;2;288045.5
2531A182 2531A014;2531A010 2531A014;2531A014 2533A078;2;288166.5
2543A020 2543A007;2541A001 2541A006;2543A009 2543A010;2;288187.5
2523A003 2523A004;2523A006 2523A027;2523A007 2523A008;2;288509.5
2543A020 2543A019;2543A009 2543A010;2541A006 2543A017;2;288518.5
2541A013 2541A015;2541A044022541A002;2532A013 2532A014;2;288559.5
2541A015 2541A016;2541A044022541A002;2541A002 2532A013;2;288617.5
2534A043 2543A019;2543A009 2543A010;2543A017 2543A007;2;288865.5
2523A004 2523A005;2523A006 2523A027;2523A007 2523A008;2;288981.5
2523A001 2523A015;2523A001 2523A010;2523A008 2523A009;2;289002.5
2523A030 2523A016;2541A016 2541A017;2523A002 2523A016;2;289012.5
2541A001 2541A006;2534A043 2543A019;2543A008 2543A009;2;289059.5
2543A011 2543A003;2543A015 2543A010;2543A008 2543A009;2;289292.5
2543A020 2543A007;2543A009 2543A010;2541A006 2543A017;2;289298.5
2533A016 2533A11808;2533A007 2533A015;2533A016 2533A111;2;289348.5
2531A156 2531A069;2532A095 2531A156;2531A154 2531A156;2;289356.5
2541A044022541A002;2541A012 2541A013;2532A014 2541A001;2;289388.5
2543A020 2543A019;2543A009 2543A010;2543A017 2543A007;2;289586.5
2531A001 2531A002;2531A153 2531A002;2531A002 2531A032;2;289708.5
2543A007 2543A001;2543A010 2543A011;2543A015 2543A010;2;289708.5
