2532A094 2532A001;2532A001 2532A022;2532A095 2532A001;VAL;2;277029.5
2523A016 2523A017;2541A044022541A002;2532A014 2541A001;VAL;2;278245.5
2543A007 2543A001;2534A030 2534A031;2543A015 2543A010;VAL;2;278372.5
2533A006 2533A007;2533A015 2533A016;2533A041 2533A045;VAL;2;278532.5
2541A044022541A002;2532A014 2541A001;2523A017 2541A003;VAL;2;278957.5
2523A016 2523A017;2541A044022541A002;2532A013 2532A014;VAL;2;278973.5
2523A030 2523A016;2523A002 2523A016;2541A002 2541A007;VAL;2;279198.5
2541A044022541A002;2532A013 2532A014;2523A017 2541A003;VAL;2;279685.5
2523A030 2523A016;2541A007 2541A008;2523A002 2523A016;VAL;2;279912.5
2523A016 2523A017;2541A044022541A002;2541A002 2532A013;VAL;2;280377.5
2523A016 2523A017;2541A002 2541A007;VAL;2;281001.5
2541A044022541A002;2541A002 2532A013;2523A017 2541A003;VAL;2;281089.5
2543A007 2543A001;2534A031 2543A003;2543A015 2543A010;VAL;2;281136.5
2523A030 2523A016;2541A008 2541A009;2523A002 2523A016;VAL;2;281175.5
2523A015 2523A014;2523A008 2523A009;2523A002 2523A016;VAL;2;281326.5
2534A030 2534A031;2543A001 2543A008;2543A015 2543A010;VAL;2;281404.5
2541A044022541A002;2532A014 2541A001;2541A019 2541A003;VAL;2;281683.5
2523A017 2541A003;2541A002 2541A007;VAL;2;281713.5
2523A016 2523A017;2541A007 2541A008;VAL;2;281715.5
2523A030 2523A016;2541A009 2541A010;2523A002 2523A016;VAL;2;281988.5
2541A044022541A002;2532A014 2541A001;2541A018 2541A019;VAL;2;282077.5
2541A044022541A002;2532A013 2532A014;2541A019 2541A003;VAL;2;282411.5
2523A017 2541A003;2541A007 2541A008;VAL;2;282427.5
2533A006 2533A007;2533A007 2533A015;2533A041 2533A045;VAL;2;282726.5
2541A044022541A002;2532A013 2532A014;2541A018 2541A019;VAL;2;282805.5
2534A030 2534A031;2543A015 2543A010;2543A008 2543A009;VAL;2;282908.5
2523A016 2523A017;2541A008 2541A009;VAL;2;282978.5
2523A030 2523A016;2541A010 2541A011;2523A002 2523A016;VAL;2;283392.5
2533A043 2533A007;2533A006 2533A007;2533A015 2533A016;VAL;2;283601.5
2523A017 2541A003;2541A008 2541A009;VAL;2;283690.5
2523A016 2523A017;2541A009 2541A010;VAL;2;283791.5
2541A044022541A002;2541A002 2532A013;2541A019 2541A003;VAL;2;283815.5
2543A001 2543A008;2534A031 2543A003;2543A015 2543A010;VAL;2;284168.5
2541A044022541A002;2541A002 2532A013;2541A018 2541A019;VAL;2;284209.5
2541A044022541A002;2532A014 2541A001;2541A017 2541A018;VAL;2;284431.5
2541A019 2541A003;2541A002 2541A007;VAL;2;284439.5
2523A017 2541A003;2541A009 2541A010;VAL;2;284503.5
2523A030 2523A016;2541A011 2541A012;2523A002 2523A016;VAL;2;284516.5
2543A007 2543A001;2543A011 2543A003;2543A015 2543A010;VAL;2;284756.5
2541A018 2541A019;2541A002 2541A007;VAL;2;284833.5
2523A030 2523A016;2541A012 2541A013;2523A002 2523A016;VAL;2;284880.5
2523A009 2523A001;2523A008 2523A028;2523A006 2523A007;VAL;2;284950.5
2541A019 2541A003;2541A007 2541A008;VAL;2;285153.5
2541A044022541A002;2532A013 2532A014;2541A017 2541A018;VAL;2;285159.5
2523A016 2523A017;2541A010 2541A011;VAL;2;285195.5
2541A016 2541A017;2541A044022541A002;2532A014 2541A001;VAL;2;285256.5
